PIC50_RET wild,can_smile,id,id_new,smiles
7.017276612,CN(C)CC(=O)N1CCC(c2ccc(-c3cc(-c4cnn(C)c4)cn4ncc(C#N)c34)cc2)CC1,30814293,patent_30814293,CN(C)CC(=O)N1CCC(CC1)C1=CC=C(C=C1)C1=CC(=CN2N=CC(C#N)=C12)C1=CN(C)N=C1
7.013228266,CC(C)(C)n1nc(-c2[nH]c3cc(C(=O)NC4CCOCC4)ccc3c2Cl)c2c(N)ncnc21,,reaxys_31969187,CC(C)(C)N1N=C(C2=C(Cl)C3=C(N2)C=C(C=C3)C(=O)NC2CCOCC2)C2=C(N)N=CN=C12
7.008330993,Cc1cc(-c2cc(-c3ccc(N4CCN(CCOC(C)C)CC4)nc3)c3c(C#N)cnn3c2)on1,30813769,patent_30813769,CC(C)OCCN1CCN(CC1)C1=CC=C(C=N1)C1=CC(=CN2N=CC(C#N)=C12)C1=CC(C)=NO1
7.007888512,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCNCc1cn(C)cn1,,reaxys_28252634,COC1=C(OCCNCC2=CN(C)C=N2)C=C2N=CN=C(NC3=C(F)C=CC(O)=C3C)C2=C1
7.007888512,Cn1cc(-c2cc(-c3ccc(N4CCCC5(CCN(C(=O)OC(C)(C)C)C5)C4)nc3)c3c(C#N)cnn3c2)cn1,30814168,patent_30814168,CN1C=C(C=N1)C1=CN2N=CC(C#N)=C2C(=C1)C1=CN=C(C=C1)N1CCCC2(CCN(C2)C(=O)OC(C)(C)C)C1
7.00656377,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCNC(C)C,,reaxys_28252614,COC1=C(OCCNC(C)C)C=C2N=CN=C(NC3=C(F)C=CC(O)=C3C)C2=C1
7.005243055,CCS(=O)(=O)N(C)CCCOc1cc2ncnc(Nc3c(F)ccc(O)c3C)c2cc1OC,,reaxys_28252716,CCS(=O)(=O)N(C)CCCOC1=C(OC)C=C2C(NC3=C(C)C(O)=CC=C3F)=NC=NC2=C1
7.004803708,Cc1ncc(-c2cc(-c3ccc(N4CCN(CCOC(C)C)CC4)nc3)c3c(C#N)cnn3c2)o1,30813772,patent_30813772,CC(C)OCCN1CCN(CC1)C1=CC=C(C=N1)C1=CC(=CN2N=CC(C#N)=C12)C1=CN=C(C)O1
7.004803708,CCOc1cc(-c2ccc(N3CCC(NC(=O)OC(C)C)C(OC)C3)nc2)c2c(C#N)cnn2c1,33060084,patent_33060084,CCOC1=CN2N=CC(C#N)=C2C(=C1)C1=CN=C(C=C1)N1CCC(NC(=O)OC(C)C)C(C1)OC
7.004364805,CC(C)(O)COc1cc(-c2ccc(N3CC[C@](C)(NC(=O)C4CC4)C3)nc2)c2c(C#N)cnn2c1,33059379,patent_33059379,CC(C)(O)COC1=CN2N=CC(C#N)=C2C(=C1)C1=CN=C(C=C1)N1CC[C@@](C)(C1)NC(=O)C1CC1
